,hash,n,m,n_flips,method,runtime,cf,internal_time,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
29,7266397,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.24290871620178223,1.0,0.037812232971191406,0.004726529121398926,0.1790010929107666,8,0.049344539642333984,optimality
30,8563963,3,33,5,PhISCS_I_,0.22920680046081543,1.0,0.0669560432434082,,,,,
31,8563963,3,33,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.20613551139831543,1.0,0.021885395050048828,0.0036475658416748047,0.1593456268310547,6,0.036173105239868164,optimality
32,3251325,3,33,7,PhISCS_I_,0.3267378807067871,1.0,0.12773680686950684,,,,,
33,3251325,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2254629135131836,1.0,0.03988456726074219,0.0049855709075927734,0.1578383445739746,8,0.052901506423950195,optimality
34,2963793,3,33,4,PhISCS_I_,0.26523375511169434,1.0,0.0948786735534668,,,,,
35,2963793,3,33,4,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.20625615119934082,1.0,0.022619962692260742,0.0045239925384521484,0.15807652473449707,5,0.03928256034851074,optimality
36,8952930,3,33,6,PhISCS_I_,0.34198427200317383,1.0,0.1516730785369873,,,,,
37,8952930,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2748527526855469,1.0,0.09339308738708496,0.00491542565195184,0.15855193138122559,19,0.0877680778503418,optimality
38,5632918,3,33,8,PhISCS_I_,0.3323040008544922,1.0,0.16568875312805176,,,,,
39,5632918,3,33,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.25745201110839844,1.0,0.05218935012817383,0.005218935012817383,0.17894625663757324,10,0.06201481819152832,optimality
40,8266876,3,33,7,PhISCS_I_,0.2340381145477295,1.0,0.0711984634399414,,,,,
41,8266876,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.21025347709655762,1.0,0.029162883758544922,0.0036453604698181152,0.15791988372802734,8,0.03767037391662598,optimality
42,2276878,3,33,7,PhISCS_I_,0.35812854766845703,1.0,0.167128324508667,,,,,
43,2276878,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2302858829498291,1.0,0.04584002494812012,0.005730003118515015,0.15648603439331055,8,0.059060096740722656,optimality
44,3343619,3,33,6,PhISCS_I_,0.5182704925537109,1.0,0.3521432876586914,,,,,
45,3343619,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.256655216217041,1.0,0.04768848419189453,0.004335316744717685,0.18321919441223145,11,0.05876660346984863,optimality
46,5376127,3,33,10,PhISCS_I_,0.605381965637207,1.0,0.43857288360595703,,,,,
47,5376127,3,33,10,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.28735876083374023,1.0,0.10091423988342285,0.004587010903791947,0.1607496738433838,22,0.09774899482727051,optimality
48,2528203,3,33,9,PhISCS_I_,0.38986778259277344,1.0,0.19898033142089844,,,,,
49,2528203,3,33,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2411942481994629,1.0,0.054000139236450195,0.005400013923645019,0.15871310234069824,10,0.06392741203308105,optimality
50,3756827,3,33,7,PhISCS_I_,0.319333553314209,1.0,0.15469098091125488,,,,,
51,3756827,3,33,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.2485339641571045,1.0,0.04188704490661621,0.005235880613327026,0.18143844604492188,8,0.052384376525878906,optimality
52,5971582,3,33,6,PhISCS_I_,0.318270206451416,1.0,0.15450310707092285,,,,,
53,5971582,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.21886396408081055,1.0,0.033071041107177734,0.004724434443882534,0.15787792205810547,7,0.048430681228637695,optimality
54,4740457,3,33,5,PhISCS_I_,0.2727930545806885,1.0,0.06893348693847656,,,,,
55,4740457,3,33,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.22321486473083496,1.0,0.03166556358337402,0.005277593930562337,0.1618480682373047,6,0.05050492286682129,optimality
56,3340204,3,33,6,PhISCS_I_,0.23092103004455566,1.0,0.06735658645629883,,,,,
57,3340204,3,33,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.20961236953735352,1.0,0.028820276260375977,0.004117182322910854,0.15684723854064941,7,0.040224313735961914,optimality
58,1501507,3,33,8,PhISCS_I_,0.6582601070404053,1.0,0.47022318840026855,,,,,
