,hash,n,m,n_flips,method,runtime,avg_node_time,cf,internal_time,model_preparation_time,n_nodes,optimization_time,termination_condition
31,7277444,100,100,16,BnB_DynamicMWMBounding_None_False,14.292224645614624,0.7500502578914165,1.0,13.500904642045498,,18,,optimality
32,9090184,100,100,3,BnB_SubsampleLPBounding_0.1_True_-1,53.03438687324524,0.15765671906146136,1.0,1.734223909676075,49.98587417602539,11,2.886425495147705,optimality
33,9090184,100,100,3,BnB_SubsampleLPBounding_0.25_True_-1,43.2583212852478,0.2735012782116731,1.0,1.6410076692700386,35.96424722671509,6,7.1804704666137695,optimality
34,9090184,100,100,3,BnB_SubsampleLPBounding_0.3_True_-1,62.23551416397095,0.6270640380680561,1.0,2.5082561522722244,53.77025318145752,4,8.357933759689331,optimality
35,9090184,100,100,3,BnB_SubsampleLPBounding_0.4_True_-1,72.09100341796875,0.947199709713459,1.0,3.788798838853836,59.385282039642334,4,12.597296953201294,optimality
36,9090184,100,100,3,BnB_SubsampleLPBounding_0.6_True_-1,67.51266193389893,1.1579353362321854,1.0,4.6317413449287415,48.38334918022156,4,19.02161741256714,optimality
37,9090184,100,100,3,BnB_SubsampleLPBounding_None_True_-1,109.4777443408966,1.661126259714365,1.0,6.64450503885746,73.20575904846191,4,36.16253137588501,optimality
38,9090184,100,100,3,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,88.41761779785156,1.5520932618528605,1.0,6.208373047411442,52.9733145236969,4,35.33696889877319,optimality
39,9090184,100,100,3,BnB_DynamicMWMBounding_None_False,1.4415829181671143,0.17914914153516293,1.0,0.7165965661406517,,4,,optimality
40,1188030,100,100,5,BnB_SubsampleLPBounding_0.1_True_-1,57.51801156997681,0.1418526138438553,1.0,8.653009444475174,47.54965376853943,61,9.13772439956665,optimality
41,1188030,100,100,5,BnB_SubsampleLPBounding_0.25_True_-1,45.362404346466064,0.43892343852080795,1.0,8.339545331895351,32.33395051956177,19,12.758038997650146,optimality
42,1188030,100,100,5,BnB_SubsampleLPBounding_0.3_True_-1,74.29929161071777,0.9305427551269532,1.0,13.958141326904297,54.423194885253906,15,19.571991682052612,optimality
43,1188030,100,100,5,BnB_SubsampleLPBounding_0.4_True_-1,59.53777456283569,0.7406697387204451,1.0,12.591385558247566,38.44103956222534,17,20.854254722595215,optimality
44,1188030,100,100,5,BnB_SubsampleLPBounding_0.6_True_-1,87.10878396034241,1.4168308476607006,1.0,8.500985085964203,63.50237798690796,6,23.441614866256714,optimality
45,1188030,100,100,5,BnB_SubsampleLPBounding_None_True_-1,94.2504255771637,2.1153053728242717,1.0,12.69183223694563,55.915167570114136,6,38.16927623748779,optimality
46,1188030,100,100,5,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,110.8131947517395,2.3135944406191506,1.0,13.881566643714905,69.33464455604553,6,41.31697654724121,optimality
47,1188030,100,100,5,BnB_DynamicMWMBounding_None_False,2.3228986263275146,0.268697885175546,1.0,1.612187311053276,,6,,optimality
48,6653686,100,100,2,BnB_SubsampleLPBounding_0.1_True_-1,31.05576729774475,0.1204756987946374,1.0,0.8433298915624619,28.858565092086792,7,2.096550703048706,optimality
49,6653686,100,100,2,BnB_SubsampleLPBounding_0.25_True_-1,59.45150709152222,0.45750483572483064,1.0,2.287524178624153,52.53018093109131,5,6.839493751525879,optimality
50,6653686,100,100,2,BnB_SubsampleLPBounding_0.3_True_-1,44.279507875442505,0.39684687107801436,1.0,1.9842343553900719,36.137927532196045,5,8.064793825149536,optimality
51,6653686,100,100,2,BnB_SubsampleLPBounding_0.4_True_-1,71.89937233924866,0.7818379744887352,1.0,3.909189872443676,59.146652698516846,5,12.675752401351929,optimality
52,6653686,100,100,2,BnB_SubsampleLPBounding_0.6_True_-1,85.83367943763733,1.1726537918051083,1.0,3.517961375415325,67.4514811038971,3,18.30438995361328,optimality
53,6653686,100,100,2,BnB_SubsampleLPBounding_None_True_-1,83.12637090682983,1.4748921394348145,1.0,4.424676418304443,55.93277597427368,3,27.11750626564026,optimality
54,6653686,100,100,2,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,82.45108366012573,1.621938203771909,1.0,4.865814611315727,50.92859244346619,3,31.44568133354187,optimality
55,6653686,100,100,2,BnB_DynamicMWMBounding_None_False,1.076287031173706,0.12101045747598012,1.0,0.36303137242794037,,3,,optimality
56,1409335,100,100,8,BnB_SubsampleLPBounding_0.1_True_-1,88.09860944747925,0.1309764802027434,1.0,40.99563830345869,45.99107789993286,313,37.84440803527832,optimality
57,1409335,100,100,8,BnB_SubsampleLPBounding_0.25_True_-1,82.80712604522705,0.5113745947577515,1.0,25.057355143129826,53.699519634246826,49,28.432960748672485,optimality
58,1409335,100,100,8,BnB_SubsampleLPBounding_0.3_True_-1,49.73669385910034,0.5296690293094691,1.0,9.004373498260975,35.52515506744385,17,13.92302656173706,optimality
59,1409335,100,100,8,BnB_SubsampleLPBounding_0.4_True_-1,76.47807788848877,0.7359079830348492,1.0,10.302711762487888,58.29202842712402,14,17.900110006332397,optimality
60,1409335,100,100,8,BnB_SubsampleLPBounding_0.6_True_-1,81.4396002292633,2.154224875072638,1.0,19.388023875653744,49.06369066238403,9,32.090930461883545,optimality
61,1409335,100,100,8,BnB_SubsampleLPBounding_None_True_-1,116.63114809989929,2.0112062303556337,1.0,18.100856073200703,76.94146966934204,9,39.402244329452515,optimality
62,1409335,100,100,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,90.96161389350891,1.8792613231473498,1.0,16.91335190832615,52.53232717514038,9,38.13021969795227,optimality
63,1409335,100,100,8,BnB_DynamicMWMBounding_None_False,4.783291816711426,0.30854420306590885,1.0,4.011074639856815,,13,,optimality
64,7581326,100,100,1,BnB_SubsampleLPBounding_0.1_True_-1,49.23500061035156,0.12640305856863657,1.0,0.37920917570590973,47.12335467338562,3,2.0642998218536377,optimality
65,7581326,100,100,1,BnB_SubsampleLPBounding_0.25_True_-1,41.93924403190613,0.4037448888023694,1.0,1.2112346664071083,35.38222575187683,3,6.509217262268066,optimality
66,7581326,100,100,1,BnB_SubsampleLPBounding_0.3_True_-1,64.159677028656,0.5766436929504076,1.0,1.729931078851223,55.57182550430298,3,8.540226697921753,optimality
67,7581326,100,100,1,BnB_SubsampleLPBounding_0.4_True_-1,71.53863334655762,0.7095127291977406,1.0,1.419025458395481,59.88517141342163,2,11.60623049736023,optimality
68,7581326,100,100,1,BnB_SubsampleLPBounding_0.6_True_-1,70.14755702018738,1.245760902762413,1.0,3.737282708287239,49.26765704154968,3,20.83207869529724,optimality
