,hash,n,m,n_flips,method,runtime,cf,internal_time,avg_node_time,model_preparation_time,n_nodes,optimization_time,termination_condition
30,6350226,12,8,23,PhISCS_I_,0.057492971420288086,1.0,0.01800704002380371,,,,,
31,6350226,12,8,23,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11531448364257812,1.0,0.07384204864501953,0.003076752026875814,0.04252433776855469,24,0.02446460723876953,optimality
32,5508115,12,8,22,PhISCS_I_,0.05227851867675781,1.0,0.013198137283325195,,,,,
33,5508115,12,8,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11316299438476562,1.0,0.07083249092102051,0.0030796735183052397,0.04249715805053711,23,0.024014949798583984,optimality
34,3698808,12,8,22,PhISCS_I_,0.05659747123718262,1.0,0.017285585403442383,,,,,
35,3698808,12,8,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11761689186096191,1.0,0.07652139663696289,0.003327017245085343,0.04176783561706543,23,0.029254913330078125,optimality
36,4557522,12,8,26,PhISCS_I_,0.11641883850097656,1.0,0.07596302032470703,,,,,
37,4557522,12,8,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.3918883800506592,1.0,0.35056447982788086,0.002850117722177893,0.06722068786621094,123,0.12427830696105957,optimality
38,4102667,12,8,21,PhISCS_I_,0.10927772521972656,1.0,0.06937670707702637,,,,,
39,4102667,12,8,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.28915953636169434,1.0,0.24668502807617188,0.0026813590008279552,0.05721306800842285,92,0.08556699752807617,optimality
40,2727279,12,8,28,PhISCS_I_,0.10038089752197266,1.0,0.060637474060058594,,,,,
41,2727279,12,8,28,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.5541954040527344,1.0,0.4833550453186035,0.002129317380258165,0.10091996192932129,227,0.18316984176635742,optimality
42,8547915,12,8,21,PhISCS_I_,0.09520268440246582,1.0,0.054726362228393555,,,,,
43,8547915,12,8,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.11401057243347168,1.0,0.0713808536529541,0.002549316201891218,0.042365074157714844,28,0.027042865753173828,optimality
44,6890436,12,8,22,PhISCS_I_,0.10068798065185547,1.0,0.061066627502441406,,,,,
45,6890436,12,8,22,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.1886289119720459,1.0,0.1470475196838379,0.0027231022163673683,0.04942941665649414,54,0.045137882232666016,optimality
46,2170563,12,8,25,PhISCS_I_,0.1170969009399414,1.0,0.07275843620300293,,,,,
47,2170563,12,8,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,3.844257116317749,1.0,3.799954891204834,0.0017873729497670902,0.3517634868621826,2126,1.2779839038848877,optimality
48,6201647,12,8,25,PhISCS_I_,0.10205197334289551,1.0,0.06154680252075195,,,,,
49,6201647,12,8,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.12719035148620605,1.0,0.08374476432800293,0.0031016579380741824,0.04509162902832031,27,0.029178857803344727,optimality
50,6498318,12,8,19,PhISCS_I_,0.06111478805541992,1.0,0.02170276641845703,,,,,
51,6498318,12,8,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1_True_True,0.10349607467651367,1.0,0.06221461296081543,0.0031107306480407716,0.0403895378112793,20,0.024437904357910156,optimality
52,9368741,12,8,15,PhISCS_I_,0.05472922325134277,1.0,0.01631951332092285,,,,,
