,hash,n,m,nf,method,runtime,cf,internalTime,avgNodeTime,modelPreperationTime,nNodes,optimizationTime,terminationCond
73,5927706,5,20,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.4379675388336182,1.0,1.3212971687316895,0.03477097812451815,0.10706162452697754,38,1.2646598815917969,optimality
74,5927706,5,20,15,BnB_DynamicMWMBounding_None_False,4.189101457595825,1.0,4.183576822280884,0.009639577931522774,,434,,optimality
75,5806998,5,20,18,PhISCS_I_,0.1840970516204834,1.0,0.08800220489501953,,,,,
76,5806998,5,20,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.7536988258361816,1.0,0.644033670425415,0.03220168352127075,0.09719061851501465,20,0.6199955940246582,optimality
77,5806998,5,20,18,BnB_DynamicMWMBounding_None_False,60.00663161277771,1.0,60.00041460990906,0.012859068711939361,,4666,,time_limit
78,4842424,5,20,21,PhISCS_I_,0.39235544204711914,1.0,0.29348015785217285,,,,,
79,4842424,5,20,21,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.254606246948242,1.0,2.1435186862945557,0.020414463678995767,0.11732339859008789,105,2.0195770263671875,optimality
80,4842424,5,20,21,BnB_DynamicMWMBounding_None_False,34.152926445007324,1.0,34.147212266922,0.01250813636150989,,2730,,optimality
81,7437667,5,20,18,PhISCS_I_,0.33436107635498047,1.0,0.23584342002868652,,,,,
82,7437667,5,20,18,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.0227880477905273,1.0,0.9098172187805176,0.030327240626017254,0.09728384017944336,30,0.8812258243560791,optimality
83,7437667,5,20,18,BnB_DynamicMWMBounding_None_False,60.02121949195862,1.0,60.01500749588013,0.012690845315263296,,4729,,time_limit
84,975083,5,20,26,PhISCS_I_,0.43483424186706543,1.0,0.3033580780029297,,,,,
85,975083,5,20,26,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,43.46996784210205,1.0,43.35259175300598,0.019932226093336083,0.7070107460021973,2175,40.57143306732178,optimality
86,975083,5,20,27,BnB_DynamicMWMBounding_None_False,60.015554428100586,1.0,60.008700132369995,0.01650858325512242,,3635,,time_limit
87,5629707,5,20,22,PhISCS_I_,0.43984389305114746,1.0,0.3118717670440674,,,,,
88,5629707,5,20,25,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,60.12450170516968,1.0,60.008344888687134,0.020908830971667992,1.2062864303588867,2870,55.892319440841675,time_limit
