hash,n,m,k,t,n_flips,runtime,file_name,internal_time,num_ones_noisy,num_zeros_noisy,Experiment_File  Name
2212548,80,40,None,120,14,10.812501192,simNo_3-s_10-m_40-n_80-k_24.SC.noisy,4.047087193,473,2727,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8001208,80,40,None,120,30,11.479855537,simNo_3-s_10-m_40-n_80-k_49.SC.noisy,4.806722879,448,2752,"cmp_algs_None,None,1_11-14-20-44-39.csv"
7861409,80,40,None,120,62,13.778833389,simNo_3-s_10-m_40-n_80-k_99.SC.noisy,7.007312298,398,2802,"cmp_algs_None,None,1_11-14-20-44-39.csv"
7454344,20,80,None,120,4,11.639838934,simNo_3-s_10-m_80-n_20-k_11.SC.noisy,4.759554148,219,1381,"cmp_algs_None,None,1_11-14-20-44-39.csv"
972718,20,80,None,120,7,10.004685640,simNo_3-s_10-m_80-n_20-k_23.SC.noisy,3.187634468,207,1393,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1722423,20,80,None,120,15,10.039179325,simNo_3-s_10-m_80-n_20-k_46.SC.noisy,3.205606222,184,1416,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4038619,40,80,None,120,73,26.509684324,simNo_3-s_10-m_80-n_40-k_110.SC.noisy,12.953383923,440,2760,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6619556,40,80,None,120,15,24.965007305,simNo_3-s_10-m_80-n_40-k_27.SC.noisy,11.411798954,523,2677,"cmp_algs_None,None,1_11-14-20-44-39.csv"
3290329,40,80,None,120,39,22.545797348,simNo_3-s_10-m_80-n_40-k_55.SC.noisy,9.114913702,495,2705,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1000976,80,80,None,120,31,57.727427006,simNo_3-s_10-m_80-n_80-k_48.SC.noisy,31.060980320,930,5470,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1151306,80,80,None,120,72,55.355739117,simNo_3-s_10-m_80-n_80-k_97.SC.noisy,28.639983892,881,5519,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4760099,20,20,None,120,12,0.625768900,simNo_4-s_10-m_20-n_20-k_19.SC.noisy,0.208034277,78,322,"cmp_algs_None,None,1_11-14-20-44-39.csv"
513604,20,20,None,120,2,0.547358513,simNo_4-s_10-m_20-n_20-k_4.SC.noisy,0.129551888,93,307,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1044146,20,20,None,120,5,0.545007467,simNo_4-s_10-m_20-n_20-k_9.SC.noisy,0.127881765,88,312,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8036169,40,20,None,120,7,1.089121580,simNo_4-s_10-m_20-n_40-k_15.SC.noisy,0.263223410,143,657,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1858561,40,20,None,120,16,1.244889975,simNo_4-s_10-m_20-n_40-k_31.SC.noisy,0.421092272,127,673,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6236973,40,20,None,120,2,1.114650965,simNo_4-s_10-m_20-n_40-k_7.SC.noisy,0.261976719,151,649,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1206667,80,20,None,120,12,2.227514505,simNo_4-s_10-m_20-n_80-k_19.SC.noisy,0.536207676,374,1226,"cmp_algs_None,None,1_11-14-20-44-39.csv"
6802904,80,20,None,120,23,2.252053499,simNo_4-s_10-m_20-n_80-k_39.SC.noisy,0.542685270,354,1246,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8099837,80,20,None,120,44,2.233669043,simNo_4-s_10-m_20-n_80-k_78.SC.noisy,0.541671276,315,1285,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2811766,20,40,None,120,6,2.260350227,simNo_4-s_10-m_40-n_20-k_17.SC.noisy,0.555830002,70,730,"cmp_algs_None,None,1_11-14-20-44-39.csv"
7940507,20,40,None,120,2,2.257259846,simNo_4-s_10-m_40-n_20-k_4.SC.noisy,0.553930998,83,717,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5485364,20,40,None,120,5,2.261207342,simNo_4-s_10-m_40-n_20-k_8.SC.noisy,0.552611113,79,721,"cmp_algs_None,None,1_11-14-20-44-39.csv"
5806224,40,40,None,120,8,4.654628515,simNo_4-s_10-m_40-n_40-k_15.SC.noisy,1.286116600,292,1308,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2481337,40,40,None,120,19,4.672704220,simNo_4-s_10-m_40-n_40-k_30.SC.noisy,1.291641474,277,1323,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2666597,40,40,None,120,34,4.745190144,simNo_4-s_10-m_40-n_40-k_61.SC.noisy,1.327968359,246,1354,"cmp_algs_None,None,1_11-14-20-44-39.csv"
639301,80,40,None,120,88,39.134026289,simNo_4-s_10-m_40-n_80-k_123.SC.noisy,32.356384993,493,2707,"cmp_algs_None,None,1_11-14-20-44-39.csv"
4878346,80,40,None,120,24,10.448619366,simNo_4-s_10-m_40-n_80-k_30.SC.noisy,3.724831104,586,2614,"cmp_algs_None,None,1_11-14-20-44-39.csv"
2616731,80,40,None,120,44,10.947570324,simNo_4-s_10-m_40-n_80-k_61.SC.noisy,4.199367523,555,2645,"cmp_algs_None,None,1_11-14-20-44-39.csv"
1895697,20,80,None,120,8,10.023539782,simNo_4-s_10-m_80-n_20-k_16.SC.noisy,3.191822290,304,1296,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9239886,20,80,None,120,25,13.633971930,simNo_4-s_10-m_80-n_20-k_32.SC.noisy,6.729813337,288,1312,"cmp_algs_None,None,1_11-14-20-44-39.csv"
9116077,20,80,None,120,41,12.743399143,simNo_4-s_10-m_80-n_20-k_64.SC.noisy,5.911600113,256,1344,"cmp_algs_None,None,1_11-14-20-44-39.csv"
8151573,40,80,None,120,77,45.370665073,simNo_4-s_10-m_80-n_40-k_117.SC.noisy,31.809330702,469,2731,"cmp_algs_None,None,1_11-14-20-44-39.csv"
109839,40,80,None,120,18,24.036427259,simNo_4-s_10-m_80-n_40-k_29.SC.noisy,10.444423676,557,2643,"cmp_algs_None,None,1_11-14-20-44-39.csv"
