,hash,n,m,nf,method,runtime,cf,internalTime,avgNodeTime,modelPreperationTime,nNodes,optimizationTime,terminationCond
17,513370,4,25,16,BnB_DynamicMWMBounding_None_False,34.22463393211365,1.0,34.21697688102722,0.01604171443086133,,2133,,optimality
18,8210270,4,25,11,PhISCS_I_,0.24346375465393066,1.0,0.11925053596496582,,,,,
19,8210270,4,25,11,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.4487876892089844,1.0,0.3003666400909424,0.025030553340911865,0.13684391975402832,12,0.288985013961792,optimality
20,8210270,4,25,11,BnB_DynamicMWMBounding_None_False,0.4623734951019287,1.0,0.45525622367858887,0.012646006213294135,,36,,optimality
21,5081104,4,25,14,PhISCS_I_,0.4863600730895996,1.0,0.36411356925964355,,,,,
22,5081104,4,25,14,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.6184267997741699,1.0,0.4841651916503906,0.030260324478149414,0.11862444877624512,16,0.4705796241760254,optimality
23,5081104,4,25,14,BnB_DynamicMWMBounding_None_False,11.436087369918823,1.0,11.428565740585327,0.013557017485866343,,843,,optimality
24,6452309,4,25,15,PhISCS_I_,0.25992584228515625,1.0,0.10249686241149902,,,,,
25,6452309,4,25,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.200721025466919,1.0,1.0670347213745117,0.024250789122147995,0.131744384765625,44,0.9993231296539307,optimality
26,6452309,4,25,15,BnB_DynamicMWMBounding_None_False,17.41238808631897,1.0,17.405423402786255,0.012388201710168153,,1405,,optimality
27,3244184,4,25,16,PhISCS_I_,0.5967059135437012,1.0,0.4693129062652588,,,,,
28,3244184,4,25,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,3.742586135864258,1.0,3.5812666416168213,0.020233144867891645,0.18113946914672852,177,3.3690662384033203,optimality
29,3244184,4,25,16,BnB_DynamicMWMBounding_None_False,60.027904748916626,1.0,60.02217650413513,0.01368806761781873,,4385,,time_limit
30,9942394,4,25,8,PhISCS_I_,0.17721939086914062,1.0,0.052748680114746094,,,,,
31,9942394,4,25,8,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.4909241199493408,1.0,0.3217775821685791,0.03575306468539768,0.14917802810668945,9,0.3252236843109131,optimality
32,9942394,4,25,8,BnB_DynamicMWMBounding_None_False,1.0795557498931885,1.0,1.0739622116088867,0.01154798076998803,,93,,optimality
33,247766,4,25,15,PhISCS_I_,0.4454805850982666,1.0,0.3205690383911133,,,,,
34,247766,4,25,14,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.0614216327667236,1.0,0.930366039276123,0.02658188683646066,0.12694048881530762,35,0.872145414352417,optimality
35,247766,4,25,14,BnB_DynamicMWMBounding_None_False,23.44652557373047,1.0,23.440109491348267,0.015016085516558787,,1561,,optimality
36,1117809,4,25,7,PhISCS_I_,0.1769568920135498,1.0,0.05308985710144043,,,,,
37,1117809,4,25,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.3490631580352783,1.0,0.2199723720550537,0.027496546506881714,0.11417078971862793,8,0.21922993659973145,optimality
38,1117809,4,25,7,BnB_DynamicMWMBounding_None_False,0.14876461029052734,1.0,0.14214134216308594,0.014214134216308594,,10,,optimality
39,8162962,4,25,15,PhISCS_I_,0.5257494449615479,1.0,0.3689734935760498,,,,,
40,8162962,4,25,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.754492998123169,1.0,0.6165585517883301,0.02680689355601435,0.12096810340881348,23,0.6006026268005371,optimality
41,8162962,4,25,17,BnB_DynamicMWMBounding_None_False,60.011420011520386,1.0,60.00397229194641,0.01567501888504347,,3828,,time_limit
42,2995275,4,25,11,PhISCS_I_,0.20826220512390137,1.0,0.05188417434692383,,,,,
43,2995275,4,25,11,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.45479297637939453,1.0,0.32277441024780273,0.026897867520650227,0.11821794509887695,12,0.3135683536529541,optimality
44,2995275,4,25,11,BnB_DynamicMWMBounding_None_False,1.751002550125122,1.0,1.7453241348266602,0.013323084998676795,,131,,optimality
45,5868630,4,25,12,PhISCS_I_,0.43079495429992676,1.0,0.304699182510376,,,,,
46,5868630,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,1.0738115310668945,1.0,0.940859317779541,0.028510888417561848,0.12566447257995605,33,0.8904480934143066,optimality
47,5868630,4,25,12,BnB_DynamicMWMBounding_None_False,3.727879047393799,1.0,3.7209742069244385,0.012240046733304075,,304,,optimality
48,2888983,4,25,9,PhISCS_I_,0.24164152145385742,1.0,0.11415696144104004,,,,,
49,2888983,4,25,9,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.4762916564941406,1.0,0.33885741233825684,0.033885741233825685,0.1174015998840332,10,0.3397791385650635,optimality
50,2888983,4,25,9,BnB_DynamicMWMBounding_None_False,0.9219779968261719,1.0,0.9146401882171631,0.009834840733517883,,93,,optimality
51,6176249,4,25,12,PhISCS_I_,0.17451691627502441,1.0,0.05263257026672363,,,,,
52,6176249,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5671367645263672,1.0,0.4037179946899414,0.031055230360764723,0.14853763580322266,13,0.3937852382659912,optimality
53,6176249,4,25,12,BnB_DynamicMWMBounding_None_False,4.0809972286224365,1.0,4.074122667312622,0.011412108311800062,,357,,optimality
54,7616405,4,25,16,PhISCS_I_,0.33634209632873535,1.0,0.21298456192016602,,,,,
55,7616405,4,25,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,7.536679267883301,1.0,7.399006605148315,0.01994341403004937,0.23592805862426758,371,6.876419544219971,optimality
56,7616405,4,25,16,BnB_DynamicMWMBounding_None_False,30.408799648284912,1.0,30.401946306228638,0.015883984486012873,,1914,,optimality
57,424571,4,25,13,PhISCS_I_,0.455660343170166,1.0,0.32839179039001465,,,,,
58,424571,4,25,13,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.6359055042266846,1.0,0.49892711639404297,0.026259321915475947,0.12131023406982422,19,0.4852638244628906,optimality
59,424571,4,25,13,BnB_DynamicMWMBounding_None_False,9.180007934570312,1.0,9.173460006713867,0.012038661426133685,,762,,optimality
60,1966311,4,25,19,PhISCS_I_,0.5772304534912109,1.0,0.4492199420928955,,,,,
61,1966311,4,25,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,5.379681348800659,1.0,5.244776487350464,0.01873134459768023,0.18191123008728027,280,4.900528907775879,optimality
62,1966311,4,25,22,BnB_DynamicMWMBounding_None_False,60.0110228061676,1.0,60.00364017486572,0.018692722795908324,,3210,,time_limit
63,4497001,4,25,12,PhISCS_I_,0.2433147430419922,1.0,0.11441302299499512,,,,,
64,4497001,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5283849239349365,1.0,0.3935554027557373,0.02315031780916102,0.12227010726928711,17,0.37811851501464844,optimality
65,4497001,4,25,12,BnB_DynamicMWMBounding_None_False,17.96609330177307,1.0,17.95876407623291,0.013263488978015443,,1354,,optimality
66,2200953,4,25,17,PhISCS_I_,0.5529677867889404,1.0,0.42545533180236816,,,,,
67,2200953,4,25,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,5.944839715957642,1.0,5.808991193771362,0.019558892908321086,0.2003328800201416,297,5.4109625816345215,optimality
68,2200953,4,25,19,BnB_DynamicMWMBounding_None_False,60.03796410560608,1.0,60.031073808670044,0.01951595377394995,,3076,,time_limit
69,6651276,4,25,19,PhISCS_I_,0.5370075702667236,1.0,0.4089183807373047,,,,,
70,6651276,4,25,19,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.7480027675628662,1.0,0.6095554828643799,0.02902645156497047,0.12807440757751465,21,0.5790581703186035,optimality
71,6651276,4,25,23,BnB_DynamicMWMBounding_None_False,60.01619482040405,1.0,60.01038360595703,0.019798872849210503,,3031,,time_limit
72,6832446,4,25,14,PhISCS_I_,0.18208861351013184,1.0,0.05431842803955078,,,,,
73,6832446,4,25,14,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5639281272888184,1.0,0.42936015129089355,0.02862401008605957,0.12204623222351074,15,0.4120168685913086,optimality
74,6832446,4,25,14,BnB_DynamicMWMBounding_None_False,11.307564735412598,1.0,11.299883842468262,0.016096700630296668,,702,,optimality
75,7463182,4,25,16,PhISCS_I_,0.5000057220458984,1.0,0.37317705154418945,,,,,
76,7463182,4,25,15,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,4.392269849777222,1.0,4.259671926498413,0.01782289508995152,0.20005512237548828,239,3.886951208114624,optimality
77,7463182,4,25,15,BnB_DynamicMWMBounding_None_False,49.54022932052612,1.0,49.53328204154968,0.01688826527158189,,2933,,optimality
78,5720072,4,25,20,PhISCS_I_,0.6190018653869629,1.0,0.49212098121643066,,,,,
79,5720072,4,25,20,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,4.9530394077301025,1.0,4.820382595062256,0.01798650222038155,0.17681288719177246,268,4.493001699447632,optimality
80,5720072,4,25,22,BnB_DynamicMWMBounding_None_False,60.038169622421265,1.0,60.030834913253784,0.019408611352490716,,3093,,time_limit
81,2058127,4,25,6,PhISCS_I_,0.17955970764160156,1.0,0.05125284194946289,,,,,
82,2058127,4,25,6,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.344315767288208,1.0,0.2069237232208252,0.029560531888689314,0.11960172653198242,7,0.21143817901611328,optimality
83,2058127,4,25,6,BnB_DynamicMWMBounding_None_False,0.09016275405883789,1.0,0.08454060554504395,0.007685509595003995,,11,,optimality
84,9198241,4,25,7,PhISCS_I_,0.21375584602355957,1.0,0.0655677318572998,,,,,
85,9198241,4,25,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.36942243576049805,1.0,0.23525500297546387,0.029406875371932983,0.11719655990600586,8,0.2365727424621582,optimality
86,9198241,4,25,7,BnB_DynamicMWMBounding_None_False,0.14497590065002441,1.0,0.13837814331054688,0.013837814331054688,,10,,optimality
87,880840,4,25,13,PhISCS_I_,0.1775364875793457,1.0,0.054810523986816406,,,,,
88,880840,4,25,13,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.3714306354522705,1.0,0.2363731861114502,0.016883799007960727,0.11972784996032715,14,0.22397541999816895,optimality
89,880840,4,25,13,BnB_DynamicMWMBounding_None_False,2.4977622032165527,1.0,2.4907584190368652,0.012905484036460442,,193,,optimality
90,8106792,4,25,12,PhISCS_I_,0.23239731788635254,1.0,0.10475468635559082,,,,,
91,8106792,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.5614380836486816,1.0,0.41681385040283203,0.032062603877140924,0.12506866455078125,13,0.4098238945007324,optimality
92,8106792,4,25,12,BnB_DynamicMWMBounding_None_False,6.542425155639648,1.0,6.5362536907196045,0.012309328984406035,,531,,optimality
93,5627692,4,25,10,PhISCS_I_,0.2154545783996582,1.0,0.05366182327270508,,,,,
94,5627692,4,25,10,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.34421753883361816,1.0,0.2044374942779541,0.018585226752541283,0.12122440338134766,11,0.20152640342712402,optimality
95,5627692,4,25,10,BnB_DynamicMWMBounding_None_False,0.7380828857421875,1.0,0.7321159839630127,0.010028986081685105,,73,,optimality
96,4699044,4,25,12,PhISCS_I_,0.21068525314331055,1.0,0.0867607593536377,,,,,
97,4699044,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.613682746887207,1.0,0.475313663482666,0.036562589498666614,0.1199493408203125,13,0.4683201313018799,optimality
98,4699044,4,25,12,BnB_DynamicMWMBounding_None_False,3.5392308235168457,1.0,3.532254695892334,0.012798024260479471,,276,,optimality
99,4138394,4,25,7,PhISCS_I_,0.20924115180969238,1.0,0.08262801170349121,,,,,
100,4138394,4,25,7,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.3535490036010742,1.0,0.2193148136138916,0.02741435170173645,0.11679697036743164,8,0.22157502174377441,optimality
101,4138394,4,25,7,BnB_DynamicMWMBounding_None_False,0.2690849304199219,1.0,0.26233625411987305,0.013116812705993653,,20,,optimality
102,2212134,4,25,16,PhISCS_I_,0.5074944496154785,1.0,0.38014674186706543,,,,,
103,2212134,4,25,16,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,2.8172264099121094,1.0,2.6813981533050537,0.018751036037098278,0.1819312572479248,143,2.477203607559204,optimality
104,2212134,4,25,16,BnB_DynamicMWMBounding_None_False,60.02713584899902,1.0,60.02007269859314,0.013810417095856682,,4346,,time_limit
105,3075862,4,25,13,PhISCS_I_,0.2790040969848633,1.0,0.14822721481323242,,,,,
106,3075862,4,25,13,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.7165184020996094,1.0,0.5384392738342285,0.035895951588948566,0.16162467002868652,15,0.5252063274383545,optimality
107,3075862,4,25,13,BnB_DynamicMWMBounding_None_False,10.010324478149414,1.0,10.003637075424194,0.012825175737723326,,780,,optimality
108,4574097,4,25,17,PhISCS_I_,0.5358593463897705,1.0,0.40349841117858887,,,,,
109,4574097,4,25,17,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.9105262756347656,1.0,0.7703783512115479,0.026564770731432683,0.1287691593170166,29,0.7369198799133301,optimality
110,4574097,4,25,18,BnB_DynamicMWMBounding_None_False,60.04371953010559,1.0,60.036532163619995,0.017616353334395537,,3408,,time_limit
111,669992,4,25,12,PhISCS_I_,0.2532992362976074,1.0,0.12465214729309082,,,,,
112,669992,4,25,12,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.6473090648651123,1.0,0.4699671268463135,0.03356908048902239,0.15741348266601562,14,0.4639308452606201,optimality
113,669992,4,25,12,BnB_DynamicMWMBounding_None_False,10.416511058807373,1.0,10.409844875335693,0.013661213747159702,,762,,optimality
114,9426706,4,25,13,PhISCS_I_,0.4714820384979248,1.0,0.3409585952758789,,,,,
115,9426706,4,25,13,BnB_SemiDynamicLPBounding_None_True_Gurobi_-1,0.9103372097015381,1.0,0.7730419635772705,0.020893026042628934,0.1252145767211914,37,0.7389445304870605,optimality
