,hash,n,m,n_flips,method,runtime,cf,internal_time
1388,8350061,13,15,64,PhISCS_I_,1.1171934604644775,1.0,0.9461989402770996
1389,1064711,13,15,66,PhISCS_I_,1.0755248069763184,1.0,0.8951642513275146
1390,1691986,13,16,67,PhISCS_I_,0.8143923282623291,1.0,0.5916197299957275
1391,7930770,13,16,70,PhISCS_I_,1.1161980628967285,1.0,0.9178450107574463
1392,1611545,13,16,65,PhISCS_I_,0.8317172527313232,1.0,0.6287214756011963
1393,2155240,13,16,54,PhISCS_I_,0.5067379474639893,1.0,0.2777528762817383
1394,6162613,13,16,58,PhISCS_I_,0.7361586093902588,1.0,0.5137345790863037
1395,8558046,13,16,67,PhISCS_I_,1.7232975959777832,1.0,1.4886260032653809
1396,1513789,13,16,62,PhISCS_I_,0.8109793663024902,1.0,0.5765881538391113
1397,1756379,13,16,58,PhISCS_I_,0.7933235168457031,1.0,0.5674371719360352
1398,2959541,13,16,67,PhISCS_I_,0.9746682643890381,1.0,0.7412662506103516
1399,3321564,13,16,67,PhISCS_I_,1.031165599822998,1.0,0.7710819244384766
1400,9616549,13,17,64,PhISCS_I_,0.9987738132476807,1.0,0.7596731185913086
1401,5687707,13,17,67,PhISCS_I_,0.8253471851348877,1.0,0.5614604949951172
1402,6954486,13,17,64,PhISCS_I_,0.9854092597961426,1.0,0.7323834896087646
1403,3335247,13,17,65,PhISCS_I_,0.9272916316986084,1.0,0.7244551181793213
1404,1960534,13,17,74,PhISCS_I_,1.117393970489502,1.0,0.9139063358306885
1405,3838333,13,17,63,PhISCS_I_,0.8368690013885498,1.0,0.5616683959960938
1406,9221187,13,17,68,PhISCS_I_,1.358051061630249,1.0,1.1080002784729004
1407,8863275,13,17,72,PhISCS_I_,1.264000654220581,1.0,1.05820631980896
1408,5269296,13,17,72,PhISCS_I_,1.132138729095459,1.0,0.9272232055664062
1409,7646567,13,17,76,PhISCS_I_,1.0759117603302002,1.0,0.8703088760375977
1410,2808753,13,18,75,PhISCS_I_,1.4246704578399658,1.0,1.1444242000579834
1411,6298778,13,18,70,PhISCS_I_,1.149867057800293,1.0,0.8283188343048096
1412,9706124,13,18,86,PhISCS_I_,2.67256236076355,1.0,2.442812204360962
1413,3502258,13,18,71,PhISCS_I_,1.3638019561767578,1.0,1.0969882011413574
1414,245236,13,18,65,PhISCS_I_,0.7924165725708008,1.0,0.5489225387573242
1415,2674491,13,18,61,PhISCS_I_,0.791419506072998,1.0,0.5480201244354248
1416,3149573,13,18,78,PhISCS_I_,1.236764907836914,1.0,0.9338023662567139
1417,9593198,13,18,69,PhISCS_I_,1.0624501705169678,1.0,0.8205761909484863
1418,4637696,13,18,69,PhISCS_I_,1.1960008144378662,1.0,0.9656555652618408
1419,5889650,13,18,76,PhISCS_I_,1.5741734504699707,1.0,1.3332924842834473
1420,9819083,13,19,79,PhISCS_I_,1.753936529159546,1.0,1.4717133045196533
1421,4657809,13,19,84,PhISCS_I_,1.6878671646118164,1.0,1.4099760055541992
1422,1949710,13,19,75,PhISCS_I_,1.5303781032562256,1.0,1.2547764778137207
1423,8185827,13,19,82,PhISCS_I_,2.1770100593566895,1.0,1.8825621604919434
1424,5292651,13,19,82,PhISCS_I_,2.0179665088653564,1.0,1.7590534687042236
1425,3983536,13,19,77,PhISCS_I_,1.4861278533935547,1.0,1.1883337497711182
1426,4056385,13,19,77,PhISCS_I_,1.4935579299926758,1.0,1.1345219612121582
1427,1514220,13,19,82,PhISCS_I_,1.7204160690307617,1.0,1.3392424583435059
1428,3846179,13,19,75,PhISCS_I_,1.5690925121307373,1.0,1.224048137664795
1429,8477778,13,19,84,PhISCS_I_,2.4665005207061768,1.0,2.118802070617676
1430,6759718,13,20,84,PhISCS_I_,1.779829978942871,1.0,1.4375147819519043
1431,9805083,13,20,76,PhISCS_I_,1.7940585613250732,1.0,1.4484970569610596
1432,8290612,13,20,76,PhISCS_I_,1.360506534576416,1.0,1.0559089183807373
1433,9289900,13,20,90,PhISCS_I_,2.4557337760925293,1.0,2.1511998176574707
1434,271327,13,20,81,PhISCS_I_,1.892315149307251,1.0,1.5799660682678223
1435,3563374,13,20,80,PhISCS_I_,1.5559954643249512,1.0,1.2034165859222412
1436,4300129,13,20,86,PhISCS_I_,1.9880735874176025,1.0,1.680818796157837
1437,2812072,13,20,75,PhISCS_I_,1.2306292057037354,1.0,0.8843650817871094
1438,7449141,13,20,87,PhISCS_I_,2.4513564109802246,1.0,2.1553096771240234
1439,9433739,13,20,87,PhISCS_I_,2.021348714828491,1.0,1.6670653820037842
1440,9027616,14,5,10,PhISCS_I_,0.031440019607543945,1.0,0.005970954895019531
1441,1574580,14,5,6,PhISCS_I_,0.03086113929748535,1.0,0.00567626953125
1442,6649719,14,5,18,PhISCS_I_,0.03787064552307129,1.0,0.012128591537475586
1443,4879477,14,5,13,PhISCS_I_,0.03021240234375,1.0,0.005499839782714844
1444,4556481,14,5,14,PhISCS_I_,0.03211236000061035,1.0,0.006835460662841797
1445,4500629,14,5,11,PhISCS_I_,0.03099966049194336,1.0,0.005880594253540039
1446,9315988,14,5,17,PhISCS_I_,0.03074026107788086,1.0,0.0058481693267822266
1447,674115,14,5,13,PhISCS_I_,0.03083515167236328,1.0,0.005709409713745117
1448,9305148,14,5,17,PhISCS_I_,0.0323641300201416,1.0,0.007401466369628906
1449,5844869,14,5,15,PhISCS_I_,0.03370857238769531,1.0,0.007345676422119141
1450,27665,14,6,19,PhISCS_I_,0.052382469177246094,1.0,0.01640486717224121
1451,7895155,14,6,17,PhISCS_I_,0.05384087562561035,1.0,0.018964290618896484
1452,1885699,14,6,16,PhISCS_I_,0.043225765228271484,1.0,0.00853276252746582
1453,7663878,14,6,21,PhISCS_I_,0.04439067840576172,1.0,0.008893251419067383
1454,3993415,14,6,17,PhISCS_I_,0.043398380279541016,1.0,0.008520364761352539
1455,8094302,14,6,15,PhISCS_I_,0.04458737373352051,1.0,0.008691787719726562
1456,4744366,14,6,22,PhISCS_I_,0.04288434982299805,1.0,0.00811147689819336
1457,9886986,14,6,22,PhISCS_I_,0.06438827514648438,1.0,0.0312955379486084
1458,2731992,14,6,17,PhISCS_I_,0.06140637397766113,1.0,0.027391910552978516
1459,4880173,14,6,23,PhISCS_I_,0.05478239059448242,1.0,0.019654273986816406
1460,3647586,14,7,17,PhISCS_I_,0.057586669921875,1.0,0.011601686477661133
1461,7669015,14,7,23,PhISCS_I_,0.09256935119628906,1.0,0.047334909439086914
1462,9139545,14,7,21,PhISCS_I_,0.056847572326660156,1.0,0.011854887008666992
1463,4982384,14,7,25,PhISCS_I_,0.06949687004089355,1.0,0.02749347686767578
1464,7017674,14,7,29,PhISCS_I_,0.10416388511657715,1.0,0.062222957611083984
1465,3939889,14,7,25,PhISCS_I_,0.06685400009155273,1.0,0.024691104888916016
1466,6930905,14,7,24,PhISCS_I_,0.06605792045593262,1.0,0.023993492126464844
1467,7534574,14,7,26,PhISCS_I_,0.08076930046081543,1.0,0.03890180587768555
1468,373416,14,7,23,PhISCS_I_,0.053214073181152344,1.0,0.011630058288574219
1469,3670280,14,7,25,PhISCS_I_,0.053534746170043945,1.0,0.011438369750976562
1470,3243580,14,8,27,PhISCS_I_,0.15851378440856934,1.0,0.09046006202697754
1471,854366,14,8,24,PhISCS_I_,0.11101531982421875,1.0,0.056470632553100586
1472,3340909,14,8,30,PhISCS_I_,0.127058744430542,1.0,0.07039403915405273
1473,1011787,14,8,26,PhISCS_I_,0.08596348762512207,1.0,0.03402566909790039
1474,3434339,14,8,36,PhISCS_I_,0.15470051765441895,1.0,0.10128259658813477
1475,3311142,14,8,25,PhISCS_I_,0.12677407264709473,1.0,0.07101058959960938
1476,7330220,14,8,22,PhISCS_I_,0.06800723075866699,1.0,0.01512289047241211
1477,6323533,14,8,31,PhISCS_I_,0.1567535400390625,1.0,0.06969738006591797
